start,start/step,0,timestamp,1636705308.1373732
start,start/step,0,timestamp,1636705322.6539474
start,start/step,0,timestamp,1636705325.5859454
start,start/step,0,timestamp,1636705325.5861232
start,start/step,0,timestamp,1636705325.6288855
start,start/step,0,timestamp,1636705354.314256
start,start/step,0,timestamp,1636705357.323246
start,start/step,0,timestamp,1636705357.4308686
start,start/step,0,timestamp,1636705357.447283
start,start/step,0,timestamp,1636705515.2781541
start,start/step,0,timestamp,1636705518.1214435
start,start/step,0,timestamp,1636705518.2828975
start,start/step,0,timestamp,1636705518.3359556
val,tot_reward,53.0,tot_len,53.0,epoch,0,timestamp,1636705522.2098272
